Title,Authors,"Year Published","Library Categories",Permalink,Status,"Publication File"
"A compendium of modern pharmacy and druggists’ formulary","Walter B. Kilner",1880,,https://worldherblibrary.org/catalog/a-compendium-of-modern-pharmacy-and-druggists-formulary-2/,publish,https://api.worldherblibrary.org/pdf/A-compendium-of-modern-pharmacy-and-druggists_-formulary-compressed.pdf
"A Compendium Of Modern Pharmacy And Druggists’ Formulary","Walter B. Kilner",1880,Formulary,https://worldherblibrary.org/catalog/a-compendium-of-modern-pharmacy-and-druggists-formulary/,publish,https://api.worldherblibrary.org/pdf/A-compendium-of-modern-pharmacy-and-druggists_-formulary-by-Kilner-Walter-B-compressed.pdf
"A Compendium of the Pharmacopoeias and Formularies","C. J. S. Thompson",1897,"Pharmacopeia, Pharmacy",https://worldherblibrary.org/catalog/a-compendium-of-the-pharmacopoeias-and-formularies/,publish,https://api.worldherblibrary.org/pdf/A-compendium-of-the-pharmacopoeias-and-formularies-official-and-unofficial-compressed.pdf
"A compleat history of Derbyshire","Thomas Cox",1730,,https://worldherblibrary.org/?post_type=whl_catalog&p=2606,draft,
"A Compleat History Of Druggs","Monfieur Pomet",1712,"Materia Medica",https://worldherblibrary.org/catalog/a-compleat-history-of-druggs/,publish,https://api.worldherblibrary.org/pdf/A-compleat-history-of-druggs-compressed.pdf
"A complete descriptive catalogue and price-list of medical books published and for sale","John M. Scudder",1889,"Eclectic Medicine",https://worldherblibrary.org/catalog/a-complete-descriptive-catalogue-and-price-list-of-medical-books-published-and-for-sale/,publish,https://api.worldherblibrary.org/pdf/A-complete-descriptive-catalogue-and-price-list-of-medical-books-published-and-for-sale-by-John-M.-Scudder.pdf
"A complete extemporaneous dispensatory; or, the method of prescribing, compounding","Dr. H. D. Gaubius",1741,Dispensatory,https://worldherblibrary.org/catalog/a-complete-extemporaneous-dispensatory-or-the-method-of-prescribing-compounding/,publish,https://api.worldherblibrary.org/pdf/A-complete-extemporaneous-dispensatory-or-the-method-of-prescribing-compounding-compressed-2.pdf
"A complete herbal of the late James Newton, M.D.","James Newton",1798,Herbals,https://worldherblibrary.org/catalog/a-complete-herbal-of-the-late-james-newton/,publish,https://api.worldherblibrary.org/pdf/A-complete-herbal-of-the-late-James-Newton-M.D-.pdf
"A complete pronouncing medical dictionary embracing the terminol",,,,https://worldherblibrary.org/?post_type=whl_catalog&p=11017,draft,https://api.worldherblibrary.org/pdf/A%20complete%20pronouncing%20medical%20dictionary%20embracing%20the%20terminol%20Thomas.%20Joseph.%201811-1891.%20p_B002WTYPFI.pdf
"A complete pronouncing medical dictionary embracing the terminol",,,,https://worldherblibrary.org/catalog/a-complete-pronouncing-medical-dictionary-embracing-the-terminol-thomas-joseph-1811-1891-p/,publish,https://api.worldherblibrary.org/pdf/A_complete_pronouncing_medical_dictionary_embracing_the_terminol_Thomas_Joseph_1811-1891_p_B002WTYPFI.pdf
"A complete pronouncing medical dictionary embracing the terminology","Thomas, Joseph",1862,,https://worldherblibrary.org/catalog/a-complete-pronouncing-medical-dictionary-embracing-the-terminology/,publish,https://api.worldherblibrary.org/pdf/A_complete_pronouncing_medical_dictionary_embracing_the_terminol_Thomas_Joseph_1811-1891_p_B002WTYPFI-compressed.pdf
"A Complete Treatise on Perfumery","Prof.H. Dussauce",1864,"Essential Oils, Perfumes",https://worldherblibrary.org/catalog/a-complete-treatise-on-perfumery/,publish,https://api.worldherblibrary.org/pdf/A-complete-treatise-on-perfumery-compressed.pdf
